iter	Logloss
0	0.6931186082
1	0.6930848254
2	0.6930581348
3	0.6930320741
4	0.6930096637
5	0.6929812732
6	0.6929552281
7	0.6929312694
8	0.6929105233
9	0.6928786817
10	0.6928568106
11	0.6928276329
12	0.6928035145
13	0.6927821912
14	0.6927516432
15	0.6927245846
16	0.6926950371
17	0.6926695847
18	0.6926398903
19	0.6926118342
20	0.6925880166
21	0.6925626543
22	0.6925438827
23	0.6925149524
24	0.6924848765
25	0.6924594228
26	0.6924303488
27	0.6924007731
28	0.6923771461
29	0.6923452265
30	0.6923230261
31	0.6922928692
32	0.6922701999
33	0.6922430204
34	0.6922117713
35	0.692182063
36	0.692153866
37	0.6921292047
38	0.69209923
39	0.6920744685
40	0.6920471858
41	0.6920204243
42	0.6919959782
43	0.6919697878
44	0.6919479716
45	0.691918822
46	0.6918924057
47	0.691869712
48	0.6918391261
49	0.6918128941
50	0.691782925
51	0.691754428
52	0.6917322266
53	0.6917113842
54	0.6916861714
55	0.6916634779
56	0.6916415004
57	0.6916174968
58	0.6915902598
59	0.6915602119
60	0.6915310379
61	0.6914991162
62	0.6914743099
63	0.6914503546
64	0.6914246726
65	0.6914002037
66	0.6913712717
67	0.6913467813
68	0.6913243798
69	0.6912966326
70	0.691274538
71	0.691250783
72	0.6912232453
73	0.6911947066
74	0.6911641233
75	0.6911454755
76	0.6911235704
77	0.6911000356
78	0.6910782033
79	0.6910532103
80	0.6910275363
81	0.6909998221
82	0.6909739907
83	0.6909403375
84	0.6909186126
85	0.6908966443
86	0.690871206
87	0.6908449542
88	0.6908159049
89	0.6907852049
90	0.6907640972
91	0.6907359203
92	0.6907080127
93	0.6906846738
94	0.6906656009
95	0.6906399457
96	0.6906150073
97	0.6905824515
98	0.6905582937
99	0.69052559
100	0.6904986066
101	0.690470767
102	0.6904412524
103	0.6904131958
104	0.6903899127
105	0.6903677101
106	0.6903343632
107	0.6903100306
108	0.6902802574
109	0.6902541962
110	0.6902275711
111	0.6902070645
112	0.6901847164
113	0.6901603298
114	0.6901351955
115	0.6901091862
116	0.690080918
117	0.6900520155
118	0.690024233
119	0.6900000224
120	0.6899781388
121	0.6899493895
122	0.6899212241
123	0.6899013566
124	0.6898731014
125	0.6898454798
126	0.6898187507
127	0.6897929151
128	0.6897679118
129	0.6897436022
130	0.6897193794
131	0.6896948917
132	0.6896680389
133	0.6896446799
134	0.68961749
135	0.6895970322
136	0.6895726952
137	0.6895523105
138	0.6895262184
139	0.6895029543
140	0.6894770145
141	0.6894506149
142	0.6894224665
143	0.6893988424
144	0.6893752742
145	0.6893495733
146	0.6893172832
147	0.689292682
148	0.6892672099
149	0.68923569
150	0.6892092458
151	0.6891795605
152	0.6891512919
153	0.6891242633
154	0.6890955073
155	0.6890699083
156	0.6890402536
157	0.6890209246
158	0.6889992883
159	0.6889725494
160	0.6889524672
161	0.6889294199
162	0.6889052391
163	0.6888824153
164	0.6888549294
165	0.6888252477
166	0.6887951658
167	0.6887639941
168	0.688734067
169	0.6887084919
170	0.6886839146
171	0.6886630352
172	0.6886439303
173	0.6886133669
174	0.6885880487
175	0.6885619321
176	0.6885277578
177	0.6884994411
178	0.6884748534
179	0.6884516837
180	0.6884247431
181	0.6883978491
182	0.6883714012
183	0.6883461003
184	0.6883187604
185	0.688287452
186	0.6882650482
187	0.6882415925
188	0.6882108074
189	0.6881856897
190	0.6881588057
191	0.6881363913
192	0.6881141395
193	0.6880864332
194	0.6880607883
195	0.688031613
196	0.6880097014
197	0.6879852273
198	0.6879643197
199	0.6879392325
200	0.6879178681
201	0.6878899865
202	0.6878579094
203	0.6878315106
204	0.6878012672
205	0.687771495
206	0.6877437836
207	0.687720064
208	0.6876927148
209	0.6876650898
210	0.6876364415
211	0.687611018
212	0.6875831544
213	0.6875552002
214	0.6875322743
215	0.6875093622
216	0.6874824319
217	0.687461125
218	0.6874415733
219	0.6874141568
